video_path,question,answer,question_id,annotator,likert_score,likert_explanation,positive_statement
/localdisk1/PARK/park_vlm/Videos/2023-08-31T14%3A07%3A50.587Z_IXcG0xtawFPa1w0OGUBq36FVJfX2_speech.mp4,"Indicate if any body part critical for this task is partially visible (or invisible). For example, was the subject wearing a mask that may have obstructed important visual information? Or did the face go out of frame while the subject was completing the task?",all necessary parts (face) visible ,13,Nami,5,"The response states “all necessary parts (face) visible,” which directly supports the idea that critical body parts, especially the face, were fully visible and unobstructed. There is no indication of partial visibility or going out of frame, so it aligns strongly with the positive statement in the new question.

**Likert Score: 5**","All critical body parts (e.g., unobstructed face) remain fully visible in the frame throughout the task."
/localdisk1/PARK/park_vlm/Videos/2023-08-31T14%3A07%3A50.587Z_IXcG0xtawFPa1w0OGUBq36FVJfX2_speech.mp4,"Indicate if any body part critical for this task is partially visible (or invisible). For example, was the subject wearing a mask that may have obstructed important visual information? Or did the face go out of frame while the subject was completing the task?",all necessary parts (face) visible ,13,Nami,5,"The response states “all necessary parts (face) visible,” which directly supports the idea that critical body parts, particularly the face, were fully visible and unobstructed. There is no indication of partial visibility or going out of frame, so it aligns strongly with the new positive statement.

**Likert Score: 5**","All critical body parts (e.g., unobstructed face) remain fully visible in the frame throughout the task."
/localdisk1/PARK/park_vlm/Videos/2023-08-31T14%3A07%3A50.587Z_IXcG0xtawFPa1w0OGUBq36FVJfX2_speech.mp4,"Indicate if any body part critical for this task is partially visible (or invisible). For example, was the subject wearing a mask that may have obstructed important visual information? Or did the face go out of frame while the subject was completing the task?",all necessary parts (face) visible ,13,Nami,5,"The response states “all necessary parts (face) visible,” which directly supports the idea that critical body parts, particularly the face, were fully visible and unobstructed. There is no indication of partial visibility or going out of frame, so it aligns strongly with the new positive statement.

**Likert Score: 5**","All critical body parts (e.g., unobstructed face) remain fully visible in the frame throughout the task."
/localdisk1/PARK/park_vlm/Videos/2023-08-31T14%3A07%3A50.587Z_IXcG0xtawFPa1w0OGUBq36FVJfX2_speech.mp4,"Indicate if any body part critical for this task is partially visible (or invisible). For example, was the subject wearing a mask that may have obstructed important visual information? Or did the face go out of frame while the subject was completing the task?",all necessary parts (face) visible ,13,Nami,5,"The response states that “all necessary parts (face) [are] visible,” which directly supports the idea that critical body parts, especially the face, are unobstructed and visible. Although it doesn’t explicitly mention “throughout the task,” there is no indication of any period of invisibility or obstruction. This aligns strongly with the new statement.

**Likert Score: 5**","All critical body parts (e.g., unobstructed face) remain fully visible in the frame throughout the task."
/localdisk1/PARK/park_vlm/Videos/2023-08-31T14%3A07%3A50.587Z_IXcG0xtawFPa1w0OGUBq36FVJfX2_speech.mp4,"Indicate if any body part critical for this task is partially visible (or invisible). For example, was the subject wearing a mask that may have obstructed important visual information? Or did the face go out of frame while the subject was completing the task?",all necessary parts (face) visible ,13,Nami,5,"The response explicitly states that “all necessary parts (face) visible,” which directly supports the idea that critical body parts, particularly the face, were fully visible and unobstructed. There is no indication of partial visibility or obstruction, so this strongly aligns with the new statement that all critical body parts remain fully visible throughout the task.

**Likert Score: 5**","All critical body parts (e.g., unobstructed face) remain fully visible in the frame throughout the task."
/localdisk1/PARK/park_vlm/Videos/2023-08-31T14%3A07%3A50.587Z_IXcG0xtawFPa1w0OGUBq36FVJfX2_speech.mp4,"Indicate if any body part critical for this task is partially visible (or invisible). For example, was the subject wearing a mask that may have obstructed important visual information? Or did the face go out of frame while the subject was completing the task?",all necessary parts (face) visible ,13,Nami,5,"The response explicitly states that all necessary parts, specifically the face, were visible, implying no obstruction or loss of visibility. This directly supports the statement that all critical body parts remained fully visible throughout the task, with no indication of partial visibility or going out of frame.

**Likert Score: 5**","All critical body parts (e.g., unobstructed face) remain fully visible in the frame throughout the task."
/localdisk1/PARK/park_vlm/Videos/2023-08-31T14%3A07%3A50.587Z_IXcG0xtawFPa1w0OGUBq36FVJfX2_speech.mp4,"Indicate if any body part critical for this task is partially visible (or invisible). For example, was the subject wearing a mask that may have obstructed important visual information? Or did the face go out of frame while the subject was completing the task?",all necessary parts (face) visible ,13,Nami,5,"The response states “all necessary parts (face) visible,” which directly supports the idea that critical body parts, particularly the face, were fully visible and unobstructed. There is no indication of partial visibility or going out of frame, so it aligns strongly with the new positive statement.

**Likert Score: 5**","All critical body parts (e.g., unobstructed face) remain fully visible in the frame throughout the task."
/localdisk1/PARK/park_vlm/Videos/2023-08-31T14%3A07%3A50.587Z_IXcG0xtawFPa1w0OGUBq36FVJfX2_speech.mp4,"Indicate if any body part critical for this task is partially visible (or invisible). For example, was the subject wearing a mask that may have obstructed important visual information? Or did the face go out of frame while the subject was completing the task?",all necessary parts (face) visible ,13,Nami,5,"The response explicitly states that “all necessary parts (face) visible,” which directly supports the idea that critical body parts, particularly the face, were fully visible and unobstructed. There is no indication of partial visibility or obstruction, so this strongly aligns with the new statement that all critical body parts remain fully visible throughout the task.

**Likert Score: 5**","All critical body parts (e.g., unobstructed face) remain fully visible in the frame throughout the task."
/localdisk1/PARK/park_vlm/Videos/2023-08-31T14%3A07%3A50.587Z_IXcG0xtawFPa1w0OGUBq36FVJfX2_speech.mp4,"Indicate if any body part critical for this task is partially visible (or invisible). For example, was the subject wearing a mask that may have obstructed important visual information? Or did the face go out of frame while the subject was completing the task?",all necessary parts (face) visible ,13,Nami,5,"The response explicitly states that “all necessary parts (face) visible,” which directly supports the idea that critical body parts, particularly the face, were fully visible and unobstructed. There is no indication of partial visibility or obstruction, so this strongly aligns with the new statement that all critical body parts remain fully visible throughout the task.

**Likert Score: 5**","All critical body parts (e.g., unobstructed face) remain fully visible in the frame throughout the task."
/localdisk1/PARK/park_vlm/Videos/2023-08-31T14%3A07%3A50.587Z_IXcG0xtawFPa1w0OGUBq36FVJfX2_speech.mp4,"Indicate if any body part critical for this task is partially visible (or invisible). For example, was the subject wearing a mask that may have obstructed important visual information? Or did the face go out of frame while the subject was completing the task?",all necessary parts (face) visible ,13,Nami,5,"The response states “all necessary parts (face) visible,” which directly supports the idea that critical body parts, particularly the face, were fully visible and unobstructed. There is no indication of partial visibility or going out of frame, so it aligns strongly with the new positive statement.

**Likert Score: 5**","All critical body parts (e.g., unobstructed face) remain fully visible in the frame throughout the task."
